000017	*ST中华A	5.85	-0.08	-1.35	5.92	5.95	5.84	5.93	--  	15238781	  0.78	          0.86	深圳	非汽车交运	      30297.59	         17.72亿	20131210	-173641.42	1095.30	11746.53	1062.17	
000018	*ST中冠A	9.36	0.03	0.32	9.39	9.48	9.31	9.33	--  	6244790	  1.32	          0.67	深圳	综合	       9972.04	          9.33亿	20131205	11752.02	27.16	5069.98	696.42	
000019	深深宝Ａ	7.62	0.02	0.26	7.62	7.64	7.56	7.60	    26.44	8056885	  1.38	          0.52	深圳	饮料制造	      20272.75	         15.45亿	20131024	96812.06	20.19	67989.33	18155.27	
000020	深华发Ａ	6.72	0.01	0.15	6.71	6.75	6.63	6.71	  1766.25	10221951	  1.45	          2.36	深圳	电子制造	       6467.54	          4.35亿	20131028	28098.90	60.19	41158.06	19816.89	
000021	长城开发	6.76	-0.12	-1.74	6.90	7.11	6.74	6.88	    49.18	133301392	  1.34	          1.46	深圳	计算机设备	     131781.78	         89.08亿	20131205	410241.00	67.43	1026414.13	120092.60	
000022	深赤湾Ａ	15.65	0.00	0.00	15.81	15.96	15.33	15.65	    16.94	56260004	  1.61	          0.77	深圳	港口	      46476.39	         72.74亿	20131025	389416.56	34.64	82057.38	259893.09	
000023	深天地Ａ	8.60	-0.09	-1.04	8.69	8.69	8.56	8.69	    67.50	12228960	  0.81	          1.02	深圳	建筑材料	      13875.62	         11.93亿	20131030	34865.03	65.57	103227.68	12812.75	
000024	招商地产	18.79	-0.11	-0.58	18.80	19.00	18.39	18.90	     6.71	333156704	  1.93	          2.60	深圳	房地产开发	      68426.75	        128.57亿	20131024	2671735.25	72.96	11482286.00	164391.77	
000025	特  力Ａ	10.04	0.22	2.24	9.82	10.15	9.70	9.82	    81.81	51382912	  1.61	          2.88	深圳	交运服务	      17929.46	         18.00亿	20131030	20465.60	68.07	16268.97	15150.92	
000026	飞亚达Ａ	6.96	-0.01	-0.14	6.98	7.01	6.85	6.97	    19.57	41137268	  1.38	          1.90	深圳	家用轻工	      31107.00	         21.65亿	20131230	150978.31	57.44	271771.09	30795.44	
000027	深圳能源	5.35	0.02	0.38	5.35	5.37	5.31	5.33	     9.76	42322608	  1.62	          0.83	深圳	电力	      95835.00	         51.27亿	20131025	1592748.38	44.49	973316.19	1338223.13	
000028	国药一致	54.28	1.78	3.39	52.38	55.68	52.02	52.50	    29.57	66437808	  1.31	          0.52	深圳	医药商业	      23326.11	        126.61亿	20131024	212096.13	79.32	911419.88	65877.41	
000029	深深房Ａ	3.59	-0.01	-0.28	3.58	3.64	3.55	3.60	   164.30	14814628	  1.62	          0.46	深圳	房地产开发	      89166.00	         32.01亿	20131023	165319.11	66.80	396170.88	5822.56	
000030	富奥股份	6.17	-0.09	-1.44	6.28	6.39	6.16	6.26	    14.77	50269960	  2.79	          4.35	吉林	汽车部件	      18497.61	         11.41亿	20131026	366278.44	40.10	314321.88	111466.91	
000031	中粮地产	3.60	0.01	0.28	3.61	3.62	3.56	3.59	    43.28	14741247	  1.26	          0.23	深圳	房地产开发	     181372.02	         65.29亿	20131029	479656.25	80.64	3591611.25	40607.91	
000032	深桑达Ａ	8.83	-0.04	-0.45	8.93	8.96	8.70	8.87	    76.00	22608404	  1.42	          1.10	深圳	通信设备	      23282.65	         20.56亿	20131029	88842.50	33.12	102532.65	9668.20	
000033	新都酒店	4.23	0.07	1.68	4.15	4.31	4.11	4.16	--  	26174030	  2.01	          1.88	深圳	酒店	      32940.19	         13.93亿	20131024	26104.72	56.75	13399.97	26816.05	
000034	深信泰丰	4.24	0.04	0.95	4.20	4.33	4.19	4.20	   194.02	16025771	  1.87	          1.11	深圳	通信设备	      34006.42	         14.42亿	20131023	9518.70	67.70	21089.74	7116.42	
000035	*ST科健	11.39	0.15	1.33	11.34	11.43	11.10	11.24	     1.42	40831524	  1.75	          1.92	深圳	通信设备	      18895.36	         21.52亿	20131022	431.46	-68.39	255.46	0.76	
000036	华联控股	2.85	0.01	0.35	2.84	2.87	2.82	2.84	    37.98	17942888	  1.69	          0.56	深圳	房地产开发	     112388.77	         32.03亿	20131028	185758.42	41.55	340429.78	10570.15	
000037	深南电Ａ	0.00	--  	--  	--  	--  	--  	4.12	--  	0	  0.00	          0.00	深圳	电力	      33889.51	         13.96亿	20131025	135213.00	73.71	354510.84	193533.34	
000038	深大通	13.38	0.39	3.00	13.05	13.45	12.82	12.99	--  	36198348	  3.55	         10.97	深圳	房地产开发	       2488.19	          3.33亿	20131019	15181.29	69.51	62596.50	13.58	
000039	中集集团	15.77	-0.14	-0.88	15.91	16.09	15.57	15.91	    32.24	216557584	  1.15	          1.12	深圳	金属制品	     123154.45	        194.21亿	20131030	2012071.63	66.75	4304606.00	1315763.25	
000040	宝安地产	4.22	0.04	0.96	4.18	4.26	4.15	4.18	    16.79	15001245	  3.03	          0.77	深圳	房地产开发	      46408.19	         19.58亿	20131026	124812.47	65.86	320287.88	8867.05	
000042	深 长 城	23.80	-0.10	-0.42	23.90	24.00	23.72	23.90	    17.69	19249926	  1.98	          0.34	深圳	房地产开发	      23939.52	         56.98亿	20131022	289267.38	65.14	736819.13	5928.98	
000043	中航地产	5.81	0.11	1.93	5.71	5.82	5.66	5.70	   115.79	34228692	  1.65	          0.89	深圳	房地产开发	      66695.17	         38.75亿	20131030	286160.22	78.24	1297569.50	21643.37	
000045	深纺织Ａ	0.00	--  	--  	--  	--  	--  	8.44	   432.29	0	  0.00	          0.00	深圳	纺织制造	      28702.18	         24.22亿	20140111	225664.67	20.91	155651.02	89569.45	
000046	泛海建设	4.39	0.01	0.23	4.36	4.42	4.34	4.38	    39.51	29579392	  2.33	          0.15	深圳	房地产开发	     454611.91	        199.57亿	20131026	843227.63	77.68	3811447.50	14355.99	
000048	康达尔	12.78	-0.20	-1.54	12.98	13.38	12.63	12.98	    98.53	33387796	  1.42	          0.67	深圳	饲料	      37985.87	         48.55亿	20131029	44984.73	59.61	59831.03	35301.71	
000049	德赛电池	70.18	-1.10	-1.54	71.25	71.58	69.10	71.28	    62.76	181242256	  0.88	          1.88	深圳	电子制造	      13682.91	         96.03亿	20131022	44729.15	72.02	184683.55	12155.20	
000050	深天马Ａ	13.88	-0.30	-2.12	14.80	14.98	13.84	14.18	    50.14	447226816	  1.85	          5.47	深圳	光学光电子	      57421.50	         79.70亿	20131028	145511.80	58.92	255609.81	408732.81	
000055	方大集团	5.98	-0.05	-0.83	6.03	6.08	5.94	6.03	    59.86	36635692	  1.59	          1.45	深圳	建筑装饰	      42085.42	         25.17亿	20131023	113278.57	51.14	151075.02	51787.96	
000056	*ST国商	19.69	0.26	1.34	19.39	19.83	19.26	19.43	     1.35	39228936	  1.78	          1.68	深圳	零售	      11921.29	         23.47亿	20131029	233985.80	53.52	11030.67	6235.06	
000058	深 赛 格	5.58	-0.04	-0.71	5.59	5.78	5.53	5.62	    58.43	107658792	  1.29	          3.54	深圳	零售	      53830.21	         30.04亿	20131028	125186.51	26.13	97471.93	4271.76	
000059	辽通化工	4.40	0.08	1.85	4.30	4.42	4.29	4.32	--  	55353360	  1.39	          1.06	辽宁	石油化工	     120050.02	         52.82亿	20131024	678889.88	78.00	1088222.63	1723496.25	
000060	中金岭南	5.76	0.11	1.95	5.62	5.79	5.61	5.65	    52.41	65057856	  2.30	          0.55	深圳	有色金属	     206102.34	        118.71亿	20131030	546996.31	52.14	472838.41	377936.69	
000061	农 产 品	8.72	-0.06	-0.68	8.78	8.88	8.69	8.78	   186.26	186830736	  1.35	          1.33	深圳	贸易	     160569.73	        140.02亿	20140123	483519.31	49.68	305900.06	283229.41	
000062	深圳华强	14.39	-0.56	-3.75	14.68	15.01	14.03	14.95	    62.81	234139248	  0.81	          2.41	深圳	零售	      66694.22	         95.97亿	20131016	159913.16	67.15	291367.41	24926.40	
